text,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
"Kondisi rame banget banget, harus sabar mengantri karna kadang sampe 1 jam. Untuk rasa menurutku biasa aja, gak yang enak banget,malah menurutku enakan bakso yg dipinggir jalan rasanya lebih ngaldu dan gurih.  Bakso tulang sumsum sama bakso tulang bakarnya gede bgt tapi untuk rasa menurutku kurang karna bumbunya tidak meresap kedalam sama sekali, udah abis 200 ribuan rasane be aja malah beberapa gak kemakan , Cuma 1 yg menurutku enak cuma bakso bakarnya yg kecil2. Untuk yg lainnya menurutku butuh perbaikan dari rasa,tekstur makanan,kuah bakso serta pelayanannya.",1,1,0,0,1,0,0,0,0,0,1,0,0
Lokasinya strategis dan nyaman banget🫶🏻,1,0,0,0,0,0,1,0,0,0,0,0,0
"bakso kurang enak, kuahnya sama sekali kurang kaldu, tempatnya soo bagus nyaman, dari pelayanan nya yang kurang sekali, kurang peka dalam melayani, kurang perhatian dalam sekitar sama customernya.  resto yang ada dijogja deket ugm",0,1,0,0,0,0,1,0,0,1,0,0,0
"Salah satu rekomendasi tempat makan perbaksoan di Jogja yang hari-hari sangat ramai dan sibuk. Tempatnya cukup gede, bisa di area lesehan atau dg meja makan. Ada indoor areanya juga. Perbaksoannya tidak perlu diragukan lagi. Citarasanya meaty, lembut-kenyal, dan wangi. Kaldunya sangat rich. Porsinya cukup mengenyangkan. Mie ayamnya not the best tapi no complain. Es teler dan es buahnya seger, manis, dan enak. Bakso gorengnya juga mantep. Pelayananannya ramah, komunikatif, dan cukup satset. Cashless available, kalo mau bayar pake qris, better pesennya pake scan QR di meja makan, lebih praktis. Ada kang parkir.",1,0,1,0,0,0,1,0,0,0,0,0,1
"Baksonya kenyal enak, kuahnya seger. Anak saya makan hingga tetesan terakhir. Meski rame penuh, pelayanan cepat. Trimakasih pajero",1,0,0,0,0,0,0,0,0,0,0,0,1
"Delicious meat ball. Suka sekali dengan yg bakar. Harga masih reasonable, pelayanan jg cepat.  Ada program free ice for review jg. Overall this is recommended, restaurant for family.",1,0,0,1,0,0,0,0,0,0,0,0,1
baksonya enakk!! cocok untuk kulineran di jogja!,1,0,0,0,0,0,0,0,0,1,0,0,0
"Ramai dan sptnya enak, layak dicoba",1,0,0,0,0,0,0,0,0,0,0,0,0
"Pengambilan menu dan kasir ada di bagian selatan.  Untuk makanannya enak.  Saya pesan dibungkus bakso urat mercon kuah mercon, bakso bakar mix, dan es buah namun saat saya buka dirumah hanya ada bakso urat mercon kuah mercon dan es buah saja. Saya pikir bakso urat mercon kuah mercon dan bakso bakar mix disatukan dalam 1 wadah tetapi tidak. Entah menu bakso bakar mix nya sedang proses atau bagaimana tapi bila memang demikian, harusnya tunggu semua pesanan sudah siap dulu baru diberikan ke pelanggan atau setidaknya ada diinfokan, padahal untuk pelayanan lainnya sudah baik.",1,1,0,0,0,0,0,0,0,1,0,0,0
Baksonya macem2 sih dan enak banget! Wajib coba ya!,1,0,0,0,0,0,0,0,0,0,0,0,0
Menu lengkap bakso lengkap staff nya ramah semua,1,0,0,0,0,0,0,0,0,0,0,0,1
Tempatnya Lumayan Stategis ya… Buat yang mau kesni jangan lupa pesen kuah Pedas/mercon nya aja lebih cocok di lidah orang yang ga suka makan manis. Kuah kaldu bakso yang Biasa terlalu plain kurang berasa kaldu/ kurang asin juga. Dateng wajib siang karena menu masih lengkap. Kalau sudah malam Allahualam menu sudah pada kosong. Tekstue Bakso bakar nya enak bakso urat tapi saus/cabai bakso bakar nya saya tidak suka. Rasanya aneh…,1,1,0,0,0,0,1,0,0,0,0,0,1
"Untuk bakso,da kuahnya enak juara,tp pesen iga bakar,untuk hrg 27 g word it,dpt 1 potongan kcl iga ada dagingnya,yg 1 full gajih,saran jgn sertakan gajih segitu banyaknya,kmd sediakan sambel kusus,ini td sy minta saus tp jd g nyambung rasanya,nasi jg terlalu lembek bgt,mg kedepan lbh baik lg",1,1,0,0,1,0,0,0,0,0,0,0,0
"Baksonya enak, kuahnya pas, harus di tingkatkan lagi pelayanannya",1,0,0,0,0,0,0,0,0,0,0,0,1
Bakso yang rekomen yg ada dijogja 95/100  Banyak pilihannya,0,0,0,0,0,0,0,0,0,0,0,0,1
Rekomendasi bakso bakarnya Kl yg kuah biasa aja,1,0,1,0,0,0,0,0,0,0,0,0,0
"Pelayanannya ramah bangetttt,makanannya enak, tempatnya juga enak, recommended banget sihh kata aku🤭",1,0,0,0,0,0,1,0,0,0,0,0,1
"berulang kali aku makan sini, berulang kali aku merasakan kepuasaaaannn",1,0,0,0,0,0,0,0,0,0,0,0,0
"Super enak, langganan bakso se jogja. Cabang nya banyak",1,0,0,0,0,0,0,0,0,0,0,0,0
Untuk pemilik bakso Pajero tolong berikan WC yang lain jangan WC ini kita pakai kaos kaki beri tolong kasih WC lagi yang lain,0,0,0,0,0,0,0,1,0,0,0,0,0
Enak baksonya tiap datang kesini,1,0,0,0,0,0,0,0,0,0,0,0,0
"Menunya enak enak bgt mantul rasanya mantap. Dari tukang parkir sampai pelayanan di dalam bagus, cuman satu kamar mandi wanita rusak saluran airnya harapannya segera diperbaiki. Terimakasih",1,0,0,0,0,0,0,1,0,1,0,0,0
Bakso terenak di jogja menurutku,1,0,0,0,0,0,0,0,0,0,0,0,0
"Enak, harga terjangkau Pertama kali mencoba beli disini",1,0,0,1,0,0,0,0,0,0,0,0,0
tempatnya bersih trus menunya lengkaapp,1,0,0,0,0,0,1,0,0,0,0,0,0
"Baksonya biasa aja, pelayanan cepat buat kebersihan perlu di tingkatkan lagi ya kak🫡🤩",0,0,1,0,0,0,0,0,0,0,0,0,1
Enak..patut di coba bila ke yogja..recomended..,0,0,0,0,0,0,0,0,0,0,0,0,1
Kaldunya juara. Tabpa tambah kecap sambel dll sudah enak. Esteler santennya segar cocok untuk suasana jogja yg panas. Ada ruang yg ac & ada yg biasa,1,0,0,0,0,0,1,0,0,0,0,0,0
"salah satu rekomendasi kuliner jogja yang harus didatengin sih, varian bakso nya banyak bangetttt. Approve🤩",1,0,0,0,0,0,0,0,0,0,0,0,1
"baksonya the best, banyak pilihannya tempatnya ramai tapi kondusif recommended buat kalian pecinta baksoo😍",1,0,0,0,0,0,1,0,0,0,0,0,0
"Bagus pelayanannya, enak basonya tapi cepat habis",1,1,0,0,0,0,0,0,0,1,0,0,0
"Coba kalian bayangin, saya pesen 2 mangkok mie ayam, udah nunggu 50 menit blm juga di anterin? Akhirnya saya komplen “emang 50 menit ga kelar bikin 2 mangkok mie ayam?” Terus petugasnya jawab nge les “maaf ada kesalahan ini itu” wkwkwk kocak",0,0,0,0,0,0,0,0,0,0,0,0,1
Bagus bakso enak banget halallllll,1,0,0,0,0,0,1,0,0,0,0,0,0
"Kuah rasa semuanya mantap, cocok untuk keluarga",1,0,0,0,0,0,0,0,0,0,0,0,0
"Over-rated, rasa nya biasa aja",0,0,1,0,0,0,0,0,0,0,0,0,0
"ga dibilang klo mie nya habis, pdhl pesan yg paket rugi klo begini. GAJELAS!!!",0,0,0,0,0,0,0,0,0,0,0,0,1
"Bakso originalnya gak begitu enak, apa karena harganya lebih murah ya dari yg lain..😀😀😀yg enak malah bakso sumsumnya.....",1,0,1,0,0,0,0,0,0,0,0,0,1
"enak banget yg kuah mercon. pedesnya bikin melek, seger kuahnya. besttt. suksess",1,0,0,0,0,0,0,0,0,0,0,0,0
"Bakso sumsum sangat kering, harusnya direndam & dikukus terus tp ini pas disajikan kering bgt terutama di bagian atas deket lubang sumsum. Tingkat kekenyalan juga beda antara bakso sumsum & bakso iga tetelan. Mau negative thinking kalo bakso sumsumnya disimpen dlm keadaan kering karna rasa bakso & sumsumnya biasa aja, kaldunya ga meresap ke dalam  Bakso iga tetelan, untuk tetelan overcook. Jadi malah kyk bubur & iganya buat kondimen bakso dikit bgt dagingnya. Mending bakso tetelan biasa aja, lebih murah & tetelan lebih banyak  Mienya juga buanyak bgt. Sbg yg suka kulineran bakso, bakso pajero ini paling banyak yg ngasih mie. Jadi makan mienya dulu dah berasa kenyang duluan. Karna mienya yg terlalu over jadinya kuahnya cepet dingin  Marketingnya selalu gembar-gembor buat pake kuas ori aja. Kalo yg kuah mercon silahkan, tapi kalo yg kuah ori jujur masih jauh di kata “sedep”. Alhasil ku tambahin garam & lada hitam/penyedap rasa yg disediain di meja.  Overall, bakso disini terkenal karna berani ambil varian banyak & unik. Bagi pemula, saranku ambil yg bakso bakar saja atau kuah mercon. Kalo kamu anak pantura, jujur sedepnya masih kurang",1,1,0,0,0,0,0,0,0,1,0,1,1
"Tempat nya enak ada tempat AC, bakso nya juara. Bakso komplit isinya macam². Es teler nya juga mantabb",1,0,0,0,0,0,1,0,0,0,0,0,0
"baksonya enak dan beragam menunya, tempatnya enak, dan pelayanannya cepat",1,0,0,0,0,0,1,0,0,1,0,0,0
"Ini tu deket kos, sering banget ke sini.   Food enakk.  Tapi punten loh sering banget dijutekin. Tp yg hari ini ga bisa aku tolerir.  Anter makan, muka jutek, aku nanya tp ga dijawab langsung main pergi aja.  Nih aku spill mbak nya. Tolong yaa. Semua orang capek. Tp ya tetep harus profesional",1,0,0,0,0,0,0,0,0,0,0,0,1
"Enakkk tapi kuah merconnya tidak gerd-friendly tapi enakkk! 😫😫😫😫 daging baksonya enak, kuahnya enak, mi nya juga enakk, definisi bakso mercon yang selama ini sy bayangkan. Tapi pastikan perut dan lambung kalian aman ya guys ya 🫶🏻🥹",1,0,0,0,0,0,0,0,0,0,0,0,0
first time nyoba☝️ kata temenku enak,1,0,0,0,0,0,0,0,0,0,0,0,0
Rasanya pas sih harganya juga masih sangat terjangkau patut di cobaiin siii kuahnya rasanya pas bedesnya juga sangat mantap sekali dagingnya terasa banget,1,0,0,1,0,0,0,0,0,0,0,0,0
"Menu nya variasi, harus dicoba",1,0,0,0,0,0,0,0,0,0,0,0,0
Bakso enak.. pesan bakso cakar naga untuk berdua cukup namun nunggu nya lama mesti sabar 1jam,1,0,0,0,0,0,0,0,0,0,1,0,0
"Enak banget baksonyaaa, plis dateng, nggak rugiiiii, gass",1,0,0,0,0,0,0,0,0,0,0,0,0
"Menarik, enakkkk. cukup jauh dari tempat saya tinggal, tapi ketika sampai worth it, dengan harga yang juga cukup terjangkau.  Masukannya paling, bisa ada penambahan/perbaikan toilet. Overall mantap sih. 8/10",1,0,0,0,0,1,0,0,1,0,0,0,1
di sini mie ayam dan bakarnya recommended buat yg kurang suka kuah,1,0,0,0,0,0,0,0,0,0,0,0,0
Mantap pol top mantap is the best mantap mantap,0,0,0,0,0,0,0,0,0,0,0,0,1
"Baksonya enak, cuma karna dateng siang. Jd keabisan mie ayam nya.. Pasti enak nih mie ayamnya hehehe  Cuma kurang kipas angin, cuaca lg panas poll",1,1,0,0,0,0,0,1,0,0,0,0,0
"Alhamdulillah,rasanya nikmat. Ada arena bermain anak&musholah 🥰🥰🥰",1,0,0,0,0,0,1,0,0,0,0,0,0
"Akhirnya kesini pas udah gak begitu viral, ternyata masih ruameee polll. Untuk kisaran menunggu 15-20 menitan masih aman dan gak antri. Awalnya kami kehabisan tempat duduk, lalu kami jalan sampai kebelakang. Ada ruangan bagus padahal sofa ada, tv ada , AC ada. Kirain gelap di matikan ternyata emang mati. Sayang sekali.  Lalu sembari keluarga pesan aku jalan kedepan sambil cari tempat duduk. Alhamdulillah dapat, emang harus effort ya 😅  Yang kami pesan : 1. Bakso goreng ORI. Ini udah endul, saranku pesen ini aja sambel racik sendiri. 2. Bakso goreng spicy, sayangnya racikan sambalnya seperti saos murahan. Aku pikir kayak hot lava. 3. Bakso komplit isi jamur, mercon,urat dan halus beuhhh ini endul semua ndagingg full. Kuah bening ber- kaldu . 4. Kuah mercon ya hati2 ya hanya untuk penyuka pedas dan ini mantulll . Gak usah kasih sambel lagi udah bakar mulut . 5. Kecewanya di es teler sudah tau ada penggantian buah,tapi ternyata jelly/ agar2 melon bukan real melon 😅. Alpukat sedikit banget . Di dominasi agar2 melon dan potongan roti tawar. Sebelumya datang ada rambutnya lalu langsung diganti.  Nb ; 1. sebenarnya udah ada pemberitahuan garansi kok. Kuah asin dingin dll. Jadi jangan sungkan untuk meminta garansi. 2. Dan mungkin mereka kurang senyum karena capek dan ramai sekali pembelinya. Cuma untuk kasirnya tetep senyum dikit deh mb ya kali di Frontline udah cemberut melengos begitu. 3. Plisss KLO pesen tetep notice, beberapa kali denger orang di panggil2 gak notice, sambil cerita suara keras lagi. Ikutan gemes kasihan waiters nya udah sapek mereka. Dan sebelnya lagi yg di panggil cuma sebelahnya dong.  🏧 Payment bisa QRIS",1,1,0,0,0,0,1,1,0,0,1,0,0
"Makanannya enak, cocok banget buat yang suka pedes. Tempatnya bersih, pelayannya ramah, untuk penyajiannya juga cepat. Bakso sama es nya semuanya enakk",1,0,0,0,0,0,1,0,0,0,0,0,1
"mie ayamnya ga recomemded bgt..porsi sedikit,mienya kriting kurang lembut,ayamnya dikit, rasa cenderung kemanis...kalo baksonya enak tp lumayan mihil",1,1,0,0,1,0,0,0,0,0,0,0,0
Datang kembali dg bw klrga... Stlh kmrn dtg sndiri.. Ketagihan😃😃,0,0,0,0,0,0,0,0,0,0,0,0,1
Menunya enak semua. Lengkap  dan parkir nyaman,1,0,0,0,0,0,1,0,0,0,0,0,0
Enakk.. Tempatnya nyaman enakk adem,1,0,0,0,0,0,1,0,0,0,0,0,0
Rasanya enak berdaging banget dan pelayanannya juga ramah,1,0,0,0,0,0,0,0,0,1,0,0,0
Tersedia aneka menu bakso. Pilihan menu selain bakso ada sop daging dan mie ayam 👍,1,0,0,0,0,0,0,0,0,0,0,0,0
Pelayanannya juara banget.. semuanya ramah,0,0,0,0,0,0,0,0,0,0,0,0,1
"Baksonya enak semua..meski bakso halus tetep kerasa dagingnya, harganya jg affordable. Recommended utk bakso terlengkap di Jogja.",1,0,0,1,0,0,0,0,0,0,0,0,0
"tdk sesuai ekspetasi, biasa aja wkwk",0,0,0,0,0,0,0,0,0,0,0,0,1
"Bakso originalnya gak begitu enak, apa karena harganya lebih murah ya dari yg lain..😀😀😀yg enak malah bakso sumsumnya.....",1,1,0,1,0,0,0,0,0,0,0,0,0
"asli enak bgt, rekomen deh",1,0,0,0,0,0,0,0,0,0,0,0,0
"ga dibilang klo mie nya habis, pdhl pesan yg paket rugi klo begini. GAJELAS!!!",0,0,0,0,0,0,0,0,0,0,1,0,0
"ini area mainan anak kotor banget plisss. abis kena ujan kayaknya, lantai basah banyak tanah gak dibersihin. area lesehan kotor banget lantainya berminyak. beda sama cabang jl kabupaten tempatnya bersih. baksonya enak kalo tempatnya kotor jadi gak mood makan.",0,0,0,0,0,0,0,1,0,0,0,0,0
PELAYANANNYA JOSS 👍🏻👍🏻👍🏻 baksone biasa,0,0,1,0,0,0,0,0,0,0,0,0,1
Bakso toping moza enak bgt,1,0,0,0,0,0,0,0,0,0,0,0,0
Bakso enak mantap tetapi es jeruk kurang berasa manisny tapi semua sudah ok dan rekomen,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mantap kinggg, pelayannya sopan mie ayam nya enakkk cocok buat makan bareng keluarga 🤙🏻🤙🏻🤙🏻",1,0,0,0,0,0,0,0,0,1,0,0,0
"Daging baksonya padat, tetelan banyak, tapi kuahnya masih kurang sedikit ngaldu menurutku. Untuk bakso goreng saos lava, pedasnya mantap 👍",1,1,0,0,0,0,0,0,0,0,0,0,0
"Baksonya oke aja, rame tempatnyaa, mungkin sistem kasir harus di improve karena cukup lama pelayanan kasirnyaa, overall bagus semuaa",1,0,0,0,0,0,0,1,0,0,0,0,0
Rekomendasi bakso bakarnya Kl yg kuah biasa aja,1,0,1,0,0,0,0,0,0,0,0,0,0
"Pilihan bakso banyak dan menarik, enak🫶🏻",1,0,0,0,0,0,0,0,0,0,0,0,0
"Tempatnya ramai sekali,, tapi memang seenak itu baksonya.. Sangat berdaging dan bervaritif.. K jogja wajib kesini siy..",1,0,0,0,0,0,1,0,0,1,0,0,0
Seminggu bisa 2-3x kesino. Terbaikk di jogjaa🫶,1,0,0,0,0,0,0,0,0,0,0,0,0
PELAYANANNYA JOSS 👍🏻👍🏻👍🏻 baksone biasa,0,0,1,0,0,0,0,0,0,1,0,0,0
Mie ku kematengan. tapi enak semua. Tempatnya nyaman 😁,1,0,0,0,0,0,1,0,0,0,0,0,0
Enak bngt dan harganya oke bngt,1,0,0,1,0,0,0,0,0,0,0,0,0
"baksonya bener² nyapi banget rasanya🤤🤤 tempatnya adem, ga sia2 tgr - jogja cuma makan bakso viral ini🤤🤤",1,0,0,0,0,0,1,0,0,0,0,0,1
Mau lagi kesini nagih apalagi bakso merconnyaa peuudesss bangettt,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lumayan lah bakso ORI dan mi ayam, lumayan ramai",1,0,0,0,0,0,0,0,0,0,0,0,0
Menu perbaksoan lengkap (walau banyak yg gak tersedia). Rasa tergaransi Parkir luas dan jelas fee parkirnya,1,0,0,0,0,0,1,0,0,0,0,0,0
Enak dagingnya lembut. Saos khas Pajero ne mantull next bisa kesini lagi,1,0,0,0,0,0,0,0,0,0,0,0,0
enakk apalagi bakso garudanya bikin kenyang tempatnya rame,1,0,0,0,0,0,0,1,0,0,0,0,0
"baksonya enak banget,kuahnya yang mercon juaraa",1,0,0,0,0,0,0,0,0,0,0,0,0
Dari samarinda kesini.. sesuai ekspektasi..  Enak.. sesuai dengan harganya.. next semoga bisa kesini lagi.. semoga selalu laris manis berkah 🥰,1,0,0,1,0,0,0,0,0,0,0,0,0
"baksonya enak banget, pelayanan oke, apalagi kuah merconnyaa nagih banget aseli 😭😭😭 recommend buat yg lgi kuliner ke jogja dah 🤤",1,0,0,0,0,0,0,0,0,0,0,0,1
"Biasanya bakso itu kuah kaldunya berasal dari rendaman atau rebusan tetelan, tulang atau daging...tapi ini kaldunya berasal dari kaldu yang instan seperti ptoduk² Royco, Masako dan sejenisnya... Bakminya lumayanlah...dari bakmi kecil, rasanya empuk seperti mie instan...baksonya biasa aja ga istimewa....dari konyur, besar dan rasa komposisi daging dan tepung.....",0,1,1,0,0,0,0,0,0,0,0,0,0
"Ini salah satu bakso terenak yg pernah aku makan di Jogja. Rasa dagingnya premium dihidangkan dengan kuah yg panas, rasa kuahnya menjadi khas dengan kaldu daging, menurutku rempahnya kurang seperti hanya gurih saja rasanya dan baksonya tidak panas jdi kuahnya cepat dingin. Yg kurang aku suka tempatnya agak kotor meja dan sendok garpunya kurang bersih mencucinya. Tapi tetap untuk masalah bakso ini yg paling enak.",1,0,0,0,0,0,0,1,0,0,0,0,0
"dari segi suasana enakk, makanannya juga lumayan, kmaren dateng pas jam hampir closing ya wajar klo banyak yang udah sold tapi untuk pelayanannya sangat kurangg, kemarin waktu pulang sempet nyapa mbanya dan bilang makasih mba bener bener didepan mbanya ehh tapi malah ngga ada respon dari mbanya yaa mungkin karna mbanya capee, semangat aja buat mbanya yang kmaren closingg, kalau cape istirahat yaa mbaa, jangan kasih customer hal yang membuat sedikit mereka kecewaa, berdampak juga di outlet dan teman teman mbaaa",0,0,1,0,0,0,1,0,0,0,1,1,1
Its oke sih untuk ukuran jogja untuk rasanya but untuk harga lumayan pricey dibanding bakso2 yg ada di bdg,1,0,0,0,1,0,0,0,0,0,0,0,0
"mie ayamnya ga recomemded bgt..porsi sedikit,mienya kriting kurang lembut,ayamnya dikit, rasa cenderung kemanis...kalo baksonya enak tp lumayan mihil",0,1,1,0,0,0,0,0,0,0,0,0,0
"baksonya worth it bgtt , es buahnya kemanisan tp it's okayy",1,0,1,0,0,0,0,0,0,0,0,0,0
"baksonya enakk dan murah, tempatnya juga bersih nyaman",1,0,0,1,0,0,1,0,0,0,0,0,0
Makanan dan tempat enak penyajian cepat dan bersih🤍🤍🤍,1,0,0,0,0,0,0,0,0,0,0,0,0
"udah langganan disini tp ngerasa pelayanan dan kebersihan makin kesini makin menurun, ini tadi tmn saya menemukan roti berjamur dlm es teler dan semacam ulat(?) atau semacamnya, sayang bgt pdhl harganya termasuk lumayan untuk mahasiswa, huhu pertama kalinya ngerasa kcw datang kesini, sayang bgt buat penanganan komplain juga kurang, be better bakso pajero🙏",0,1,0,0,1,0,0,0,0,0,0,0,1
"udah kesekian kalinya makan disini, rasa baksonya beda dari yang lain.. enak banget bikin nagih😋",1,0,0,0,0,0,0,0,0,0,0,0,1
Tempatnya luas dan tersedia parkir Motor mau mobil yang lumayan. Ini saja bagi saya sudah bintang lima. Pilihan baksonya cam-macam dan enak,1,0,0,0,0,0,1,0,0,0,0,0,0
"Mie ayamnya tipe mie yg tebal, kuahny cenderung asin, porsi nya pas. Bakso gorengnya seporsi isi 3 ukuran besar. Tempat makan luas, ada lesehan & Playground mini. Parkir motor luas, cuma sedikit sulit untuk parkir mobil. Kalo lagi rame bisa waiting list sampe 30 menit lebih",1,1,0,0,0,0,1,1,0,0,1,0,0
Mie ayamnya sama bakso bakarnya enakk,1,0,0,0,0,0,0,0,0,0,0,0,0
di sini mie ayam dan bakarnya recommended buat yg kurang suka kuah,0,0,0,0,0,0,0,0,0,1,0,0,0
pelayanan lama beli bakso n mie ayam. baksonya udh abis mie ayamnya ga dateng2 smp tanya pelayan 3x.. akhir nya dibungkus. padahal bukan waktu jam shalat.,0,0,0,0,0,0,0,0,0,0,0,0,1
"pelayanan cepet walaupun rame, waktu tunggu makanan 10 menitan, sangat amat cepat untuk ukuran resto yg rame, pelayanan baik. wajib kesini sih",0,0,0,0,0,0,0,0,0,0,0,0,1
Bakso mozzarella nya enak bgt,1,0,0,0,0,0,0,0,0,0,0,0,0
"menunya lengkap,enak enakk semuaaa. tempatnya luas dan nyaman",1,0,0,0,0,0,1,0,0,0,0,0,0
Tempat ramai bakso nyaa enak,1,0,0,0,0,0,0,0,0,0,0,0,1
"Kesini krn rekomendasi temen. Jangan kesini pas lagi laper ya, kecuali sabar menunggu. Hehe Bakso uratnya enak, beneran berurat, bakso komplitnya isinya bakso halus, bakso urat, bakso jamur dan bakso mercon. Enak semuanya dan berdaging. Untuk kuahnya tipikal bening dan berkaldu. Overall oke lah, cuma harus mau ninggu rada lama. Oiya satu lagi, nomor mejanya ga bisa dipindah wkwkkw, agak sedikit menganggu kalo pesen rada banyakan",1,0,0,0,0,0,0,1,0,0,0,0,1
"rasanya enak, pelayanan ramah, pengerjaan cepat",1,0,0,0,0,0,0,0,0,0,0,0,1
"tempat makannya family friendly karena ada playground, rasanyaa juga enakk",1,0,0,0,0,0,1,0,0,0,0,0,0
Tempat nyaman makan bersama keluarga,0,0,0,0,0,0,1,0,0,0,0,0,0
COCOK YANG NYARI SEGER-SEGER AREA UNY / UGM PARKIR LUMAYAN BISA MENAMPUNG BEBERAPA MOBIL TEMPAT MAKANYA JUGA LUAS HARUS SABAR KETIKA WAKTU SHOLAT AGAK MELAMBAT 🥹🥹👍👍,0,0,0,0,0,0,1,0,0,0,0,0,1
"Enak rasanya, tapi untuk UMR jogja rasanya kayak habis makan di Singapore bikin dompet menangis.",1,0,0,0,1,0,0,0,0,0,0,0,0
Enak rasanya lokasi strategis cocok buat nongkrong,1,0,0,0,0,0,1,0,0,0,0,0,0
"Rasa bakso nya mantap, ndaging. Kuahnya segar  Pelayanannya juga baik, nggak sengaja dapat krupuk melempem, boleh dituker dong sama pelayannya.  Tempat parkir luas, jadi aman kalau bawa mobil",1,0,0,0,0,0,1,0,0,0,0,0,1
"Saat waiting list tidak pakai lama,walaupun penuh. Lokasi parkir mudah dan amam.",0,0,0,0,0,0,1,0,0,0,0,0,1
"baksonya enak bgt, kuahnya seger rasanya gurih, bakso komplit isi 4 ukuran sedang dan mengenyangkan, bakso gorengnya enak bgt, es teler duriannya mantep ngga bikin eneg, tempat bersih, tanpa asap rokok, pegawai ramah dan informatif, mie ayamnya jg enakk",1,0,0,0,0,0,1,0,0,1,0,0,0
"Kecewa dengan pelayanan, orderan saya tidak ada dibagian pesanan dan saya harus nunggu 30menit lamanya, pelayan konfirmasi membayar melalui qris atau cash katanya, lah emang bedanya apa dengan kedua pembayaran itu? Apa kalo payment pake qris lebih lama atau sebaliknya? Mohon cashier lebih teliti mengecek setiap orderan yg masuk",0,0,0,0,0,0,0,0,0,0,1,1,0
Baksonya enak dan pelayanannya ramah,1,0,0,0,0,0,0,0,0,1,0,0,0
"Sudah kesekian kalinya kesini, tetap enak",1,0,0,0,0,0,0,0,0,0,0,0,0
Baksonya enak pol selalu jadi langganan makan bakso disini,1,0,0,0,0,0,0,0,0,1,0,0,0
Tidak sampe ikut mencicipi saking penuhnya pengunjung,0,0,0,0,0,0,0,1,0,0,0,0,0
"Suka banget sama kuah nya, area deket sama UNY-UGM. Strategis nyaman dan bersih...",1,0,0,0,0,0,1,0,0,0,0,0,0
Enak.. Udah gitu aja 😍,1,0,0,0,0,0,0,0,0,0,0,0,0
